id;type
1;Offender
2;Offender
3;Offender
4;Offender
5;Offender
6;Offender
7;Offender
8;Offender
9;Co-Offender
10;Offender
11;Offender
12;Offender
13;Offender
14;Offender
15;Offender
16;Offender
17;Offender
18;Offender
19;Offender
20;Offender
21;Offender
22;Offender
23;Co-Offender
24;Co-Offender
25;Offender
26;Offender
27;Co-Offender
28;Offender
29;Offender
30;Offender
31;Offender
32;Offender
33;Offender
34;Offender
35;Offender
36;Offender
37;Offender
38;Offender
39;Offender
40;Offender
41;Offender
42;Offender
43;Offender
44;Offender
45;Offender
46;Offender
47;Offender
48;Offender
49;Offender
50;Co-Offender
51;Offender
52;Offender
53;Offender
54;Offender
55;Offender
56;Offender
57;Co-Offender
58;Offender
59;Offender
60;Offender
61;Offender
62;Offender
63;Offender
64;Offender
65;Co-Offender
66;Co-Offender
67;Offender
68;Offender
69;Offender
70;Offender
71;Offender
72;Offender
73;Offender
74;Offender
75;Co-Offender
76;Co-Offender
77;Co-Offender
78;Offender
79;Offender
80;Offender
81;Offender
82;Offender
83;Offender
84;Offender
85;Offender
86;Offender
87;Offender
88;Offender
89;Offender
90;Offender
91;Co-Offender
92;Offender